tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori,year,month,day,dayofweek,critical_encoded,categori_encoded
2010-01-01,DKI1 (Bunderan HI),0.0,0.22697371899116156,-1.2105354041957426,2.3827377268118908,-1.0172627951981852,0.029784239143939278,73.0,CO,SEDANG,2010,1,1,4,0,3
2010-01-02,DKI1 (Bunderan HI),0.0,-1.3645005184786767,-1.3430427682270518,-0.37855779531374634,-0.893647745749598,-0.631583508968075,33.0,O3,BAIK,2010,1,2,5,2,0
2010-01-03,DKI1 (Bunderan HI),0.0,-1.6486923465982908,-1.3430427682270518,-0.08789510877420559,-1.1614803528882036,-0.631583508968075,27.0,PM10,BAIK,2010,1,3,6,3,0
2010-01-04,DKI1 (Bunderan HI),0.0,-1.9328841747179046,-1.3430427682270518,-0.37855779531374634,-1.2644928940953595,-1.0284041578352836,22.0,PM10,BAIK,2010,1,4,0,3,0
2010-01-05,DKI1 (Bunderan HI),0.0,-1.7623690778461363,-1.3430427682270518,-0.2816702331338994,-1.2644928940953595,-0.7638570585904778,25.0,PM10,BAIK,2010,1,5,1,3,0
2010-01-06,DKI1 (Bunderan HI),0.0,-1.4781772497265224,-1.276789086211397,0.20276757776533513,-1.1820828611296348,-0.3670364097232693,30.0,PM10,BAIK,2010,1,6,2,3,0
2010-01-07,DKI1 (Bunderan HI),0.0,-0.8529552278633716,-1.2105354041957426,0.39654270212502896,-1.0172627951981852,-0.10248931047846357,41.0,PM10,BAIK,2010,1,7,3,3,0
2010-01-08,DKI1 (Bunderan HI),0.0,0.45432718148685275,-0.9455206761331244,2.3827377268118908,-1.1820828611296348,0.16205778876634214,64.0,PM10,SEDANG,2010,1,8,4,3,3
2010-01-09,DKI1 (Bunderan HI),0.0,-0.05721810912845243,-1.144281722180088,1.8498561348227325,-1.0996728281639099,0.294331338388745,55.0,PM10,SEDANG,2010,1,9,5,3,3
2010-01-10,DKI1 (Bunderan HI),0.0,-1.2508237872308312,-1.144281722180088,0.29965513994518206,-1.0378653034396164,-0.23476286010086642,34.0,PM10,BAIK,2010,1,10,6,3,0
2010-01-11,DKI1 (Bunderan HI),0.0,-0.05721810912845243,-0.8130133121018153,1.1716431995638041,-1.0996728281639099,0.294331338388745,55.0,PM10,SEDANG,2010,1,11,0,3,3
2010-01-12,DKI1 (Bunderan HI),0.0,-0.6256017653676804,-1.2105354041957426,1.2685307617436512,-1.3881079435439467,0.4266048880111478,45.0,PM10,BAIK,2010,1,12,1,3,0
2010-01-13,DKI1 (Bunderan HI),0.0,-1.591853980974368,-1.144281722180088,0.8809805130242635,-1.3675054353025153,-0.23476286010086642,29.0,CO,BAIK,2010,1,13,2,0,0
2010-01-14,DKI1 (Bunderan HI),0.0,-1.02347032473514,-1.0780280401644335,0.7840929508444165,-1.2644928940953595,-0.4993099593456721,38.0,PM10,BAIK,2010,1,14,3,3,0
2010-01-15,DKI1 (Bunderan HI),0.0,-1.1939854216069083,-1.144281722180088,1.2685307617436512,-1.2232878776124971,0.4266048880111478,35.0,PM10,BAIK,2010,1,15,4,3,0
2010-01-16,DKI1 (Bunderan HI),0.0,-0.11405647475237524,-1.144281722180088,1.7529685726428856,-1.2232878776124971,0.5588784376335507,54.0,PM10,SEDANG,2010,1,16,5,3,3
2010-01-17,DKI1 (Bunderan HI),0.0,-0.6824401309916032,-1.2105354041957426,0.7840929508444165,-1.120275336405341,0.029784239143939278,44.0,PM10,BAIK,2010,1,17,6,3,0
2010-01-18,DKI1 (Bunderan HI),0.0,-1.02347032473514,-1.2105354041957426,0.8809805130242635,-1.0790703199224787,0.16205778876634214,38.0,PM10,BAIK,2010,1,18,0,3,0
2010-01-19,DKI1 (Bunderan HI),0.0,-0.9097935934872944,-1.276789086211397,2.2374063835421203,-1.0996728281639099,1.2202461857455649,43.0,CO,BAIK,2010,1,19,1,0,0
